psx_offset,duckstation_va,byte_length,type,description,tags,notes
E0638,800E0638,256,Array of byte,Field RNG Table,"field,rng",
E560C,800E560C,4,4 Bytes,WM: Exact Camera Direction,"world,camera",
E56FC,800E56FC,4,4 Bytes,World Map Player X Copy,world,
E5700,800E5700,4,4 Bytes,World Map Player Y Copy,world,
E5704,800E5704,4,4 Bytes,World Map Player Z Copy,world,
F39E4,800F39E4,4,4 Bytes,Battle: Forced-Wait Timer,battle,
F5BBC,800F5BBC,2,2 Bytes,Player 1 ATB,battle,
F5BBE,800F5BBE,2,2 Bytes,Player 1 HP Delta,,
F5BC8,800F5BC8,16,Array of byte,Player 1 Timers,,
F5BE4,800F5BE4,4,4 Bytes,Player 1 Cued Damage,battle,
F5BE8,800F5BE8,4,4 Bytes,Player 1 Cued MP Damage,,
F5BF4,800F5BF4,2,2 Bytes,Player 1 HP Display,,
F5BF6,800F5BF6,2,2 Bytes,Player 1 MP Display,,
F5C00,800F5C00,2,2 Bytes,Player 2 ATB,battle,
F5C02,800F5C02,2,2 Bytes,Player 2 HP Delta,,
F5C0C,800F5C0C,16,Array of byte,Player 2 Timers,,
F5C28,800F5C28,4,4 Bytes,Player 2 Cued Damage,battle,
F5C2C,800F5C2C,4,4 Bytes,Player 2 Cued MP Damage,,
F5C38,800F5C38,2,2 Bytes,Player 2 HP Display,,
F5C3A,800F5C3A,2,2 Bytes,Player 2 MP Display,,
F5C44,800F5C44,2,2 Bytes,Player 3 ATB,battle,
F5C4C,800F5C4C,2,2 Bytes,Player 3 HP Delta,,
F5C50,800F5C50,16,Array of byte,Player 3 Timers,,
F5C6C,800F5C6C,4,4 Bytes,Player 3 Cued Damage,battle,
F5C70,800F5C70,4,4 Bytes,Player 3 Cued MP Damage,,
F5C7C,800F5C7C,2,2 Bytes,Player 3 HP Display,,
F5C80,800F5C80,2,2 Bytes,Player 3 MP Display,,
F5CCA,800F5CCA,2,2 Bytes,Enemy 1 ATB Increase Per Frame,battle,
F5CCC,800F5CCC,2,2 Bytes,Enemy 1 ATB,battle,
F5CD4,800F5CD4,2,2 Bytes,Enemy 1 HP Delta,,
F5CD8,800F5CD8,16,Array of byte,Enemy 1 Timers,,
F5CF2,800F5CF2,2,2 Bytes,Enemy 1 Turns Taken,,
F5CF4,800F5CF4,1,Byte,Enemy 1 Cued Damage,battle,
F5CF8,800F5CF8,4,4 Bytes,Enemy 1 Cued MP Damage,,
F5D04,800F5D04,2,2 Bytes,Enemy 1 HP Display,,
F5D08,800F5D08,2,2 Bytes,Enemy 1 MP Display,,
F5D10,800F5D10,2,2 Bytes,Enemy 2 ATB,battle,
F5D18,800F5D18,2,2 Bytes,Enemy 2 HP Delta,,
F5D1C,800F5D1C,16,Array of byte,Enemy 2 Timers,,
F5D38,800F5D38,4,4 Bytes,Enemy 2 Cued Damage,battle,
F5D3C,800F5D3C,4,4 Bytes,Enemy 2 Cued MP Damage,,
F5D48,800F5D48,2,2 Bytes,Enemy 2 HP Display,,
F5D4C,800F5D4C,2,2 Bytes,Enemy 2 MP Display,,
F5D54,800F5D54,2,2 Bytes,Enemy 3 ATB,battle,
F5D5C,800F5D5C,2,2 Bytes,Enemy 3 HP Delta,,
F5D60,800F5D60,16,Array of byte,Enemy 3 Timers,,
F5D7C,800F5D7C,4,4 Bytes,Enemy 3 Cued Damage,battle,
F5D80,800F5D80,4,4 Bytes,Enemy 3 Cued MP Damage,,
F5D8C,800F5D8C,2,2 Bytes,Enemy 3 HP Display,,
F5D8E,800F5D8E,1,Byte,No description,,
F5D90,800F5D90,2,2 Bytes,Enemy 3 MP Display,,
F5D98,800F5D98,2,2 Bytes,Enemy 4 ATB,battle,
F5DA0,800F5DA0,2,2 Bytes,Enemy 4 HP Delta,,
F5DA4,800F5DA4,16,Array of byte,Enemy 4 Timers,,
F5DC0,800F5DC0,4,4 Bytes,Enemy 4 Cued Damage,battle,
F5DC4,800F5DC4,4,4 Bytes,Enemy 4 Cued MP Damage,,
F5DD0,800F5DD0,2,2 Bytes,Enemy 4 HP Display,,
F5DD4,800F5DD4,2,2 Bytes,Enemy 4 MP Display,,
F5DDC,800F5DDC,2,2 Bytes,Enemy 5 ATB,battle,
F5DE4,800F5DE4,2,2 Bytes,Enemy 5 HP Delta,,
F5DE8,800F5DE8,16,Array of byte,Enemy 5 Timers,,
F5E04,800F5E04,4,4 Bytes,Enemy 5 Cued Damage,battle,
F5E08,800F5E08,4,4 Bytes,Enemy 5 Cued MP Damage,,
F5E14,800F5E14,2,2 Bytes,Enemy 5 HP Display,,
F5E18,800F5E18,2,2 Bytes,Enemy 5 MP Display,,
F5E20,800F5E20,2,2 Bytes,Enemy 6 ATB,battle,
F5E28,800F5E28,2,2 Bytes,Enemy 6 HP Delta,,
F5E2C,800F5E2C,16,Array of byte,Enemy 6 Timers,,
F5E48,800F5E48,4,4 Bytes,Enemy 6 Cued Damage,battle,
F5E4C,800F5E4C,4,4 Bytes,Enemy 6 Cued MP Damage,,
F5E58,800F5E58,2,2 Bytes,Enemy 6 HP Display,,
F5E5C,800F5E5C,2,2 Bytes,Enemy 6 MP Display,,
F8368,800F8368,4,4 Bytes,Battle Frame Update,battle,Don't mess with this unless you want the battle scene to break.
F8370,800F8370,4,4 Bytes,?,,"FFFF usually, is set to 0x118 on Flying Sickle? gotta figure this out"
F83AE,800F83AE,1,Byte,?,"battle,battle-end","is usually F7. Changing to _0 causes a Game Over, 0_ causes a Victory, _8 causes all enemies to constantly spend their turn doing nothing"
F83C6,800F83C6,1,Byte,Exit Battle Status + Battle Party Lock?,"battle,party,status,menu,battle-end","1 = Victory, 3 = Game Over, 4-5 = Run Away, 8-F = Fade Out Exit. 0x10, 0x40, 0x80 disable party members, and switching to them locks the menu."
F8408,800F8408,2,2 Bytes,Player 1 Current MP,,
F840A,800F840A,2,2 Bytes,Player 1 Max MP,,
F840C,800F840C,2,2 Bytes,Player 1 Current HP,,
F8410,800F8410,2,2 Bytes,Player 1 Max HP,,
F8474,800F8474,2,2 Bytes,Player 2 Current HP,,
F84DC,800F84DC,2,2 Bytes,Player 3 Current HP,,
F859A,800F859A,2,2 Bytes,Enemy 1 Last Attacked By,,
F859C,800F859C,2,2 Bytes,Enemy 1 Last Damaged By,,
F859E,800F859E,2,2 Bytes,Enemy 1 Last Magic'd By,,
F85A4,800F85A4,2,2 Bytes,Enemy 1 ID,,
F85AC,800F85AC,2,2 Bytes,Enemy 1 Current HP,,
F85B0,800F85B0,2,2 Bytes,Enemy 1 Max HP,,
F860C,800F860C,2,2 Bytes,Enemy 2 ID,,
F8674,800F8674,2,2 Bytes,Enemy 3 ID,,
F86D1,800F86D1,1,Byte,Enemy 1 Level,,
F86D5,800F86D5,1,Byte,Enemy 1 Strength,,
F86D6,800F86D6,1,Byte,Enemy 1 Magic,,
F86D7,800F86D7,1,Byte,Enemy 1 Evade,,
F86D8,800F86D8,1,Byte,Enemy 1 IdleAnim ID,,
F86D9,800F86D9,1,Byte,Enemy 1 DamageAnim ID,,
F86DB,800F86DB,1,Byte,Enemy 1 Size,,
F86DC,800F86DC,1,Byte,Enemy 1 Dexterity,,
F86DC,800F86DC,2,2 Bytes,Enemy 4 ID,,
F86DD,800F86DD,1,Byte,Enemy 1 Luck,,
F86E8,800F86E8,2,2 Bytes,Enemy 1 Defence,,
F86EA,800F86EA,2,2 Bytes,Enemy 1 MDefence,,
F86EC,800F86EC,1,Byte,Enemy 1 Index ID,,
F86F0,800F86F0,2,2 Bytes,Enemy 1 Current MP,,
F86F2,800F86F2,2,2 Bytes,Enemy 1 Max MP,,
F86F4,800F86F4,2,2 Bytes,Enemy 1 Current HP,,
F86F8,800F86F8,2,2 Bytes,Enemy 1 Max HP,,
F871E,800F871E,1,Byte,Enemy 1 Evade ID,,
F8720,800F8720,4,4 Bytes,Enemy 1 Gil,rewards,
F8724,800F8724,4,4 Bytes,Enemy 1 EXP,rewards,
F8739,800F8739,1,Byte,Enemy 2 Level,,
F873D,800F873D,1,Byte,Enemy 2 Strength,,
F873E,800F873E,1,Byte,Enemy 2 Magic,,
F873F,800F873F,1,Byte,Enemy 2 Evade,,
F8740,800F8740,1,Byte,Enemy 2 IdleAnim ID,,
F8741,800F8741,1,Byte,Enemy 2 DamageAnim ID,,
F8743,800F8743,1,Byte,Enemy 2 Size,,
F8744,800F8744,1,Byte,Enemy 2 Dexterity,,
F8744,800F8744,2,2 Bytes,Enemy 5 ID,,
F8745,800F8745,1,Byte,Enemy 2 Luck,,
F8750,800F8750,2,2 Bytes,Enemy 2 Defence,,
F8752,800F8752,2,2 Bytes,Enemy 2 MDefence,,
F8754,800F8754,1,Byte,Enemy 2 Index ID,,
F8758,800F8758,2,2 Bytes,Enemy 2 Current MP,,
F875A,800F875A,2,2 Bytes,Enemy 2 Max MP,,
F875C,800F875C,2,2 Bytes,Enemy 2 Current HP,,
F8760,800F8760,2,2 Bytes,Enemy 2 Max HP,,
F8786,800F8786,1,Byte,Enemy 2 Evade ID,,
F8788,800F8788,4,4 Bytes,Enemy 2 Gil,rewards,
F878C,800F878C,4,4 Bytes,Enemy 2 EXP,rewards,
F87A1,800F87A1,1,Byte,Enemy 3 Level,,
F87A5,800F87A5,1,Byte,Enemy 3 Strength,,
F87A6,800F87A6,1,Byte,Enemy 3 Magic,,
F87A7,800F87A7,1,Byte,Enemy 3 Evade,,
F87A8,800F87A8,1,Byte,Enemy 3 IdleAnim ID,,
F87A9,800F87A9,1,Byte,Enemy 3 DamageAnim ID,,
F87AB,800F87AB,1,Byte,Enemy 3 Size,,
F87AC,800F87AC,1,Byte,Enemy 3 Dexterity,,
F87AC,800F87AC,2,2 Bytes,Enemy 6 ID,,
F87AD,800F87AD,1,Byte,Enemy 3 Luck,,
F87B8,800F87B8,2,2 Bytes,Enemy 3 Defence,,
F87BA,800F87BA,2,2 Bytes,Enemy 3 MDefence,,
F87BC,800F87BC,1,Byte,Enemy 3 Index ID,,
F87C0,800F87C0,2,2 Bytes,Enemy 3 Current MP,,
F87C2,800F87C2,2,2 Bytes,Enemy 3 Max MP,,
F87C4,800F87C4,2,2 Bytes,Enemy 3 Current HP,,
F87C8,800F87C8,2,2 Bytes,Enemy 3 Max HP,,
F87EE,800F87EE,1,Byte,Enemy 3 Evade ID,,
F87F0,800F87F0,4,4 Bytes,Enemy 3 Gil,rewards,
F87F4,800F87F4,4,4 Bytes,Enemy 3 EXP,rewards,
F8809,800F8809,1,Byte,Enemy 4 Level,,
F880D,800F880D,1,Byte,Enemy 4 Strength,,
F880E,800F880E,1,Byte,Enemy 4 Magic,,
F880F,800F880F,1,Byte,Enemy 4 Evade,,
F8810,800F8810,1,Byte,Enemy 4 IdleAnim ID,,
F8811,800F8811,1,Byte,Enemy 4 DamageAnim ID,,
F8813,800F8813,1,Byte,Enemy 4 Size,,
F8814,800F8814,1,Byte,Enemy 4 Dexterity,,
F8815,800F8815,1,Byte,Enemy 4 Luck,,
F8820,800F8820,2,2 Bytes,Enemy 4 Defence,,
F8822,800F8822,2,2 Bytes,Enemy 4 MDefence,,
F8824,800F8824,1,Byte,Enemy 4 Index ID,,
F8828,800F8828,2,2 Bytes,Enemy 4 Current MP,,
F882A,800F882A,2,2 Bytes,Enemy 4 Max MP,,
F882C,800F882C,2,2 Bytes,Enemy 4 Current HP,,
F8830,800F8830,2,2 Bytes,Enemy 4 Max HP,,
F8856,800F8856,1,Byte,Enemy 4 Evade ID,,
F8858,800F8858,4,4 Bytes,Enemy 4 Gil,rewards,
F885C,800F885C,4,4 Bytes,Enemy 4 EXP,rewards,
F8871,800F8871,1,Byte,Enemy 5 Level,,
F8875,800F8875,1,Byte,Enemy 5 Strength,,
F8876,800F8876,1,Byte,Enemy 5 Magic,,
F8877,800F8877,1,Byte,Enemy 5 Evade,,
F8878,800F8878,1,Byte,Enemy 5 IdleAnim ID,,
F8879,800F8879,1,Byte,Enemy 5 DamageAnim ID,,
F887B,800F887B,1,Byte,Enemy 5 Size,,
F887C,800F887C,1,Byte,Enemy 5 Dexterity,,
F887D,800F887D,1,Byte,Enemy 5 Luck,,
F8888,800F8888,2,2 Bytes,Enemy 5 Defence,,
F888A,800F888A,2,2 Bytes,Enemy 5 MDefence,,
F888C,800F888C,1,Byte,Enemy 5 Index ID,,
F8890,800F8890,2,2 Bytes,Enemy 5 Current MP,,
F8892,800F8892,2,2 Bytes,Enemy 5 Max MP,,
F8894,800F8894,2,2 Bytes,Enemy 5 Current HP,,
F8898,800F8898,2,2 Bytes,Enemy 5 Max HP,,
F88BE,800F88BE,1,Byte,Enemy 5 Evade ID,,
F88C0,800F88C0,4,4 Bytes,Enemy 5 Gil,rewards,
F88C4,800F88C4,4,4 Bytes,Enemy 5 EXP,rewards,
F88D9,800F88D9,1,Byte,Enemy 6 Level,,
F88DD,800F88DD,1,Byte,Enemy 6 Strength,,
F88DE,800F88DE,1,Byte,Enemy 6 Magic,,
F88DF,800F88DF,1,Byte,Enemy 6 Evade,,
F88E0,800F88E0,1,Byte,Enemy 6 IdleAnim ID,,
F88E1,800F88E1,1,Byte,Enemy 6 DamageAnim ID,,
F88E3,800F88E3,1,Byte,Enemy 6 Size,,
F88E4,800F88E4,1,Byte,Enemy 6 Dexterity,,
F88E5,800F88E5,1,Byte,Enemy 6 Luck,,
F88F0,800F88F0,2,2 Bytes,Enemy 6 Defence,,
F88F2,800F88F2,2,2 Bytes,Enemy 6 MDefence,,
F88F4,800F88F4,1,Byte,Enemy 6 Index ID,,
F88F8,800F88F8,2,2 Bytes,Enemy 6 Current MP,,
F88FA,800F88FA,2,2 Bytes,Enemy 6 Max MP,,
F88FC,800F88FC,2,2 Bytes,Enemy 6 Current HP,,
F8900,800F8900,2,2 Bytes,Enemy 6 Max HP,,
F8926,800F8926,1,Byte,Enemy 6 Evade ID,,
F8928,800F8928,4,4 Bytes,Enemy 6 Gil,rewards,
F892C,800F892C,4,4 Bytes,Enemy 6 EXP,rewards,
F8B38,800F8B38,1,Byte,Enemy 1 LocalVar:0000,,
F8B3C,800F8B3C,1,Byte,Enemy 1 LocalVar:0020,,
F8BB8,800F8BB8,1,Byte,Enemy 2 LocalVar:0000,,
F8BBC,800F8BBC,1,Byte,Enemy 2 LocalVar:0020,,
F8C38,800F8C38,1,Byte,Enemy 3 LocalVar:0000,,
F8C3C,800F8C3C,1,Byte,Enemy 3 LocalVar:0020,,
F8CB8,800F8CB8,1,Byte,Enemy 4 LocalVar:0000,,
F8CBC,800F8CBC,1,Byte,Enemy 4 LocalVar:0020,,
F8D38,800F8D38,1,Byte,Enemy 5 LocalVar:0000,,
F8D3C,800F8D3C,1,Byte,Enemy 5 LocalVar:0020,,
F8DB8,800F8DB8,1,Byte,Enemy 6 LocalVar:0000,,
F8DBC,800F8DBC,1,Byte,Enemy 6 LocalVar:0020,,
109D44,80109D44,4,4 Bytes,World Map Camera Target X,"world,camera",
109D48,80109D48,4,4 Bytes,World Map Camera Target Y,"world,camera",
109D4C,80109D4C,4,4 Bytes,World Map Camera Target Z,"world,camera",
10A560,8010A560,4,4 Bytes,World Map Object 0 X,world,buggy x position for ccskip
10A560,8010A560,4,4 Bytes,World Map Object 1 X,world,
10A564,8010A564,4,4 Bytes,World Map Object 0 Y,world,
10A568,8010A568,4,4 Bytes,World Map Object 0 Z,world,buggy z positoin for ccskip
10AD3C,8010AD3C,4,4 Bytes,WM: Player Pointer,world,it points to the player object
10AD40,8010AD40,4,4 Bytes,WM: Some Pointer (to current area data? idk),world,Looks like a linked list under here
10AE4C,8010AE4C,4,4 Bytes,WM: Type of ground?,world,"00 on grass, 01 in forest, 09 on rock, 0A on snow, 10 on loading zone or side of mountain? 11 on beach"
10AE58,8010AE58,4,4 Bytes,World Map RNG Index,"world,rng",
10AE5C,8010AE5C,521,Array of byte,World Map RNG Buffer,"world,rng",
10C2AC,8010C2AC,384,Array of byte,Zolom Segment Buffer,,
10C42C,8010C42C,4,4 Bytes,Zolom Segment Buffer Pointer,,
10C7F4,8010C7F4,4,4 Bytes,Zolom Idle Timer,,
11627C,8011627C,4,4 Bytes,World Map Step Fractions,world,
116284,80116284,4,4 Bytes,World Map Danger,"field,world",
1164F8,801164F8,4,4 Bytes,WM: Minimap Mode,world,
163780,80163780,1,Byte,Battle: Runnable due to pincer,battle,"2 or greater = not runnable. there's also a lot of nice stuff back here in battle, look into it"
,,,,Everything below is probably wrong. I'll verify/fix it... eventually.,,
